IdGestion;DiasAtraso;MontoDeuda;Canal;ContactoEfectivo;PromesasCumplidas;NotaGestor;Pago30d
50;60.0;13343.43;whatsapp;si;1;atiende y pide volver a llamar en horario de la tarde;0
51;74.0;55348.59;whatsapp;no;3;atiende y pide volver a llamar en horario de la tarde;0
52;185.0;101776.19;email;si;1;se envia detalle de la deuda por el canal habitual;1
53;47.0;20859.44;telefono;no;3;no atiende el telefono, el numero figura fuera de servicio;0
54;257.0;30421.1;telefono;no;0;se envia detalle de la deuda por el canal habitual;0
55;160.0;49517.21;email;no;0;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
56;94.0;33695.31;email;no;3;se niega a pagar y menciona que iniciara un reclamo;0
57;59.0;53654.64;email;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;0
58;231.0;63621.59;email;si;2;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
59;109.0;10664.72;telefono;si;0;atendio un tercero que dice no conocer al titular;0
60;149.0;58041.2;telefono;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;1
61;76.0;47736.4;email;si;2;se deja mensaje en el contestador con los datos de contacto;1
62;202.0;11076.38;whatsapp;si;0;solicita que le enviemos los datos de la cuenta por escrito;1
63;36.0;47257.45;email;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;1
64;103.0;22377.08;email;si;1;pide plan de pagos en tres cuotas y deja telefono alternativo;1
65;54.0;1022126.78;email;si;1;se niega a pagar y menciona que iniciara un reclamo;1
66;196.0;82970.96;telefono;no;1;atiende y pide volver a llamar en horario de la tarde;0
67;31.0;239556.02;telefono;si;0;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
68;186.0;24650.76;telefono;no;0;se deja mensaje en el contestador con los datos de contacto;0
69;309.0;40783.87;whatsapp;si;1;solicita que le enviemos los datos de la cuenta por escrito;0
70;30.0;113049.62;whatsapp;no;0;se deja mensaje en el contestador con los datos de contacto;0
71;73.0;18434.08;telefono;si;1;se deja mensaje en el contestador con los datos de contacto;1
72;80.0;57540.21;telefono;no;1;se niega a pagar y menciona que iniciara un reclamo;0
73;82.0;17715.15;visita;si;4;atiende y pide volver a llamar en horario de la tarde;1
74;18.0;147004.75;telefono;no;2;toma nota de la gestion sin comprometer una fecha;0
75;303.0;62964.45;telefono;si;1;se envia detalle de la deuda por el canal habitual;0
76;69.0;12222.97;email;si;0;consulta el monto exacto para ponerse al dia esta semana;0
77;110.0;102578.55;visita;si;0;se deja mensaje en el contestador con los datos de contacto;0
78;56.0;36650.76;visita;si;0;atiende y pide volver a llamar en horario de la tarde;0
79;143.0;56739.95;email;si;1;manifiesta intencion de regularizar apenas cobre el sueldo;1
80;44.0;36828.36;whatsapp;si;0;solicita que le enviemos los datos de la cuenta por escrito;0
81;196.0;44994.07;telefono;si;0;solicita que le enviemos los datos de la cuenta por escrito;0
82;322.0;14003.2;telefono;si;0;se envia detalle de la deuda por el canal habitual;0
83;135.0;62871.78;visita;si;0;no atiende el telefono, el numero figura fuera de servicio;0
84;72.0;15258.98;visita;si;0;no atiende el telefono, el numero figura fuera de servicio;0
85;26.0;10463.6;visita;no;1;atendio un tercero que dice no conocer al titular;0
86;122.0;56716.1;telefono;si;0;se niega a pagar y menciona que iniciara un reclamo;0
87;174.0;74078.37;telefono;si;1;consulta el monto exacto para ponerse al dia esta semana;0
88;258.0;86117.92;telefono;no;0;atendio un tercero que dice no conocer al titular;0
89;151.0;48167.41;visita;si;2;atendio un tercero que dice no conocer al titular;0
90;34.0;90776.61;telefono;si;1;se niega a pagar y menciona que iniciara un reclamo;1
91;174.0;54485.68;telefono;no;1;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
92;49.0;78487.72;whatsapp;no;4;se deja mensaje en el contestador con los datos de contacto;1
93;151.0;166902.53;telefono;no;2;atendio un tercero que dice no conocer al titular;0
94;42.0;6535.54;email;no;0;atiende y pide volver a llamar en horario de la tarde;0
95;156.0;32599.51;telefono;no;1;se envia detalle de la deuda por el canal habitual;0
96;71.0;25042.77;email;si;0;se envia detalle de la deuda por el canal habitual;0
97;235.0;17171.08;telefono;no;2;toma nota de la gestion sin comprometer una fecha;0
98;102.0;25437.46;telefono;si;0;no atiende el telefono, el numero figura fuera de servicio;0
99;112.0;11699.49;visita;si;1;se envia detalle de la deuda por el canal habitual;1
100;25.0;9870.99;email;no;0;toma nota de la gestion sin comprometer una fecha;0
101;178.0;38993.6;visita;no;0;se deja mensaje en el contestador con los datos de contacto;0
102;54.0;22233.91;email;no;3;no atiende el telefono, el numero figura fuera de servicio;0
103;271.0;55500.29;telefono;si;0;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
104;91.0;13274.63;telefono;si;1;atendio un tercero que dice no conocer al titular;1
105;136.0;46168.04;email;no;0;atiende y pide volver a llamar en horario de la tarde;0
106;53.0;21765.32;whatsapp;no;0;se deja mensaje en el contestador con los datos de contacto;0
107;120.0;6771.45;whatsapp;no;1;toma nota de la gestion sin comprometer una fecha;1
108;98.0;28404.58;whatsapp;si;0;se envia detalle de la deuda por el canal habitual;0
109;45.0;45416.23;whatsapp;si;1;atiende y pide volver a llamar en horario de la tarde;1
110;280.0;120000.53;whatsapp;si;3;solicita que le enviemos los datos de la cuenta por escrito;0
111;134.0;14067.89;whatsapp;no;2;no atiende el telefono, el numero figura fuera de servicio;0
112;230.0;18017.12;telefono;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;1
113;22.0;29048.24;whatsapp;si;0;solicita que le enviemos los datos de la cuenta por escrito;1
114;56.0;94965.5;telefono;si;1;solicita que le enviemos los datos de la cuenta por escrito;0
115;70.0;138606.78;email;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;1
116;111.0;120553.12;whatsapp;si;0;se envia detalle de la deuda por el canal habitual;0
117;206.0;30853.16;telefono;si;2;manifiesta intencion de regularizar apenas cobre el sueldo;1
118;141.0;151801.56;whatsapp;si;0;consulta el monto exacto para ponerse al dia esta semana;0
119;216.0;23745.01;telefono;no;2;toma nota de la gestion sin comprometer una fecha;0
120;62.0;27605.33;whatsapp;si;3;atiende y pide volver a llamar en horario de la tarde;1
121;109.0;182306.69;whatsapp;si;0;se envia detalle de la deuda por el canal habitual;0
122;97.0;17440.01;telefono;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;1
123;172.0;243454.95;telefono;si;1;consulta el monto exacto para ponerse al dia esta semana;1
124;97.0;78507.63;email;si;2;pide plan de pagos en tres cuotas y deja telefono alternativo;1
125;214.0;31460.35;telefono;si;1;solicita que le enviemos los datos de la cuenta por escrito;0
126;54.0;38075.41;whatsapp;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;1
127;492.0;53891.55;whatsapp;si;2;solicita que le enviemos los datos de la cuenta por escrito;1
128;108.0;48341.51;email;no;2;se envia detalle de la deuda por el canal habitual;0
129;5.0;34821.97;email;no;0;toma nota de la gestion sin comprometer una fecha;0
130;78.0;155542.27;whatsapp;no;1;se niega a pagar y menciona que iniciara un reclamo;0
131;29.0;57719.72;whatsapp;no;0;atendio un tercero que dice no conocer al titular;0
132;60.0;71488.72;email;si;1;pide plan de pagos en tres cuotas y deja telefono alternativo;1
133;165.0;54190.87;whatsapp;no;0;atiende y pide volver a llamar en horario de la tarde;0
134;141.0;15846.25;telefono;no;0;no atiende el telefono, el numero figura fuera de servicio;0
135;122.0;16861.72;visita;si;2;solicita que le enviemos los datos de la cuenta por escrito;0
136;91.0;48373.37;visita;si;1;se deja mensaje en el contestador con los datos de contacto;0
137;62.0;99745.19;telefono;si;1;atendio un tercero que dice no conocer al titular;0
138;96.0;78682.02;telefono;si;1;se deja mensaje en el contestador con los datos de contacto;0
139;39.0;20539.31;email;si;0;no atiende el telefono, el numero figura fuera de servicio;1
140;4.0;44684.35;whatsapp;si;1;se deja mensaje en el contestador con los datos de contacto;1
141;229.0;34514.93;visita;no;0;atiende y pide volver a llamar en horario de la tarde;0
142;17.0;190608.48;whatsapp;no;0;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
143;17.0;18435.36;whatsapp;no;0;se niega a pagar y menciona que iniciara un reclamo;0
144;318.0;62019.11;whatsapp;no;0;toma nota de la gestion sin comprometer una fecha;0
145;56.0;22479.12;telefono;si;1;sin respuesta a los mensajes, la direccion registrada es incorrecta;1
146;140.0;57082.84;whatsapp;si;0;solicita que le enviemos los datos de la cuenta por escrito;0
147;144.0;11301.81;visita;no;0;toma nota de la gestion sin comprometer una fecha;0
148;70.0;11135.09;telefono;no;4;se envia detalle de la deuda por el canal habitual;0
149;58.0;52184.29;telefono;si;1;se deja mensaje en el contestador con los datos de contacto;0
150;82.0;10188.37;telefono;si;2;se niega a pagar y menciona que iniciara un reclamo;1
151;69.0;91343.4;email;si;1;no atiende el telefono, el numero figura fuera de servicio;0
152;52.0;24890.67;whatsapp;no;0;atiende y pide volver a llamar en horario de la tarde;0
153;74.0;29467.29;whatsapp;si;0;se envia detalle de la deuda por el canal habitual;1
154;35.0;49341.08;whatsapp;si;0;consulta el monto exacto para ponerse al dia esta semana;1
155;53.0;62269.99;email;si;1;atendio un tercero que dice no conocer al titular;1
156;161.0;7731.18;whatsapp;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;1
157;103.0;40910.29;whatsapp;no;0;atiende y pide volver a llamar en horario de la tarde;0
158;124.0;23803.15;whatsapp;no;1;se niega a pagar y menciona que iniciara un reclamo;0
159;224.0;110367.77;email;no;0;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
160;102.0;43017.68;telefono;si;1;se envia detalle de la deuda por el canal habitual;1
161;141.0;64324.63;email;si;0;toma nota de la gestion sin comprometer una fecha;0
162;386.0;36267.21;visita;no;2;no atiende el telefono, el numero figura fuera de servicio;0
163;160.0;27023.97;whatsapp;no;2;atiende y pide volver a llamar en horario de la tarde;0
164;40.0;27395.32;telefono;no;0;toma nota de la gestion sin comprometer una fecha;0
165;168.0;101288.08;telefono;si;1;solicita que le enviemos los datos de la cuenta por escrito;0
166;140.0;128121.0;whatsapp;si;0;atendio un tercero que dice no conocer al titular;0
167;95.0;60881.8;email;si;0;pide plan de pagos en tres cuotas y deja telefono alternativo;0
168;129.0;28518.24;whatsapp;si;3;pide plan de pagos en tres cuotas y deja telefono alternativo;0
169;42.0;46152.37;email;no;1;se niega a pagar y menciona que iniciara un reclamo;0
170;177.0;13331.5;telefono;no;0;solicita que le enviemos los datos de la cuenta por escrito;1
171;376.0;21238.97;telefono;si;1;manifiesta intencion de regularizar apenas cobre el sueldo;1
172;125.0;28151.47;telefono;si;0;consulta el monto exacto para ponerse al dia esta semana;0
173;66.0;38850.8;whatsapp;no;2;se niega a pagar y menciona que iniciara un reclamo;0
174;109.0;44082.13;whatsapp;no;0;toma nota de la gestion sin comprometer una fecha;0
175;236.0;29265.44;whatsapp;si;3;atiende y pide volver a llamar en horario de la tarde;1
176;90.0;11721.67;visita;no;0;manifiesta intencion de regularizar apenas cobre el sueldo;0
177;39.0;42492.13;visita;si;0;se deja mensaje en el contestador con los datos de contacto;1
178;120.0;58038.45;whatsapp;no;1;atendio un tercero que dice no conocer al titular;0
179;85.0;73365.13;whatsapp;no;1;atiende y pide volver a llamar en horario de la tarde;0
180;32.0;27491.66;telefono;si;0;no atiende el telefono, el numero figura fuera de servicio;1
181;201.0;50651.79;telefono;si;1;se niega a pagar y menciona que iniciara un reclamo;0
182;129.0;19957.31;email;si;0;pide plan de pagos en tres cuotas y deja telefono alternativo;0
183;43.0;87189.21;telefono;si;0;no atiende el telefono, el numero figura fuera de servicio;0
184;428.0;51427.7;telefono;no;1;atendio un tercero que dice no conocer al titular;0
185;60.0;70091.57;whatsapp;si;0;no atiende el telefono, el numero figura fuera de servicio;1
186;267.0;37707.87;visita;no;1;atendio un tercero que dice no conocer al titular;0
187;169.0;58833.01;email;si;0;consulta el monto exacto para ponerse al dia esta semana;0
188;178.0;31389.39;whatsapp;no;1;se deja mensaje en el contestador con los datos de contacto;0
189;49.0;65580.84;email;no;0;se envia detalle de la deuda por el canal habitual;0
190;67.0;10922.5;whatsapp;no;0;se niega a pagar y menciona que iniciara un reclamo;0
191;9.0;202325.76;whatsapp;no;2;sin respuesta a los mensajes, la direccion registrada es incorrecta;1
192;95.0;27463.02;telefono;si;1;pide plan de pagos en tres cuotas y deja telefono alternativo;1
193;43.0;57130.66;telefono;si;1;se niega a pagar y menciona que iniciara un reclamo;1
194;75.0;36662.68;visita;si;1;toma nota de la gestion sin comprometer una fecha;0
195;66.0;14133.4;telefono;si;0;atiende y pide volver a llamar en horario de la tarde;0
196;81.0;37750.94;whatsapp;si;0;se deja mensaje en el contestador con los datos de contacto;0
197;75.0;36110.81;email;si;1;consulta el monto exacto para ponerse al dia esta semana;0
198;49.0;29528.4;whatsapp;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;1
199;83.0;22563.25;email;no;0;pide plan de pagos en tres cuotas y deja telefono alternativo;0
200;155.0;81493.99;email;no;1;se deja mensaje en el contestador con los datos de contacto;0
201;372.0;50629.96;visita;no;1;atendio un tercero que dice no conocer al titular;0
202;119.0;55171.94;email;si;0;se envia detalle de la deuda por el canal habitual;0
203;101.0;169336.3;whatsapp;si;2;sin respuesta a los mensajes, la direccion registrada es incorrecta;1
204;60.0;80442.37;whatsapp;si;2;solicita que le enviemos los datos de la cuenta por escrito;1
205;74.0;334430.23;email;si;2;no atiende el telefono, el numero figura fuera de servicio;0
206;320.0;18617.4;whatsapp;no;2;atendio un tercero que dice no conocer al titular;0
207;280.0;92248.32;whatsapp;no;1;se niega a pagar y menciona que iniciara un reclamo;0
208;146.0;18084.55;telefono;si;1;toma nota de la gestion sin comprometer una fecha;0
209;90.0;11399.71;telefono;no;1;atendio un tercero que dice no conocer al titular;0
210;215.0;71393.87;telefono;si;1;pide plan de pagos en tres cuotas y deja telefono alternativo;0
211;52.0;60636.91;whatsapp;no;2;se envia detalle de la deuda por el canal habitual;0
212;182.0;25939.78;whatsapp;si;3;pide plan de pagos en tres cuotas y deja telefono alternativo;0
213;304.0;47286.4;telefono;no;0;se niega a pagar y menciona que iniciara un reclamo;0
214;126.0;62644.51;visita;no;1;se deja mensaje en el contestador con los datos de contacto;0
215;88.0;39968.65;visita;si;0;no atiende el telefono, el numero figura fuera de servicio;0
216;135.0;20948.3;whatsapp;si;0;toma nota de la gestion sin comprometer una fecha;0
217;124.0;18504.24;visita;si;0;se niega a pagar y menciona que iniciara un reclamo;0
218;94.0;13471.4;visita;si;1;se deja mensaje en el contestador con los datos de contacto;1
219;141.0;63070.62;telefono;si;0;toma nota de la gestion sin comprometer una fecha;0
220;88.0;39090.89;telefono;si;0;atiende y pide volver a llamar en horario de la tarde;0
221;63.0;17010.81;telefono;si;1;consulta el monto exacto para ponerse al dia esta semana;1
222;130.0;99809.78;email;si;1;manifiesta intencion de regularizar apenas cobre el sueldo;0
223;170.0;40136.36;visita;no;0;toma nota de la gestion sin comprometer una fecha;0
224;94.0;131635.41;email;si;3;se envia detalle de la deuda por el canal habitual;1
225;131.0;76079.38;email;no;0;se deja mensaje en el contestador con los datos de contacto;0
226;26.0;82170.85;email;no;0;se envia detalle de la deuda por el canal habitual;0
227;112.0;72100.03;whatsapp;si;2;atiende y pide volver a llamar en horario de la tarde;1
228;56.0;29781.86;telefono;no;0;se deja mensaje en el contestador con los datos de contacto;0
229;60.0;11614.48;visita;si;0;pide plan de pagos en tres cuotas y deja telefono alternativo;0
230;184.0;32966.04;telefono;si;2;manifiesta intencion de regularizar apenas cobre el sueldo;0
231;188.0;119304.63;whatsapp;si;2;se envia detalle de la deuda por el canal habitual;0
232;204.0;12329.56;email;si;0;atiende y pide volver a llamar en horario de la tarde;0
233;50.0;18006.08;telefono;si;0;se envia detalle de la deuda por el canal habitual;0
234;117.0;6808.09;telefono;no;1;no atiende el telefono, el numero figura fuera de servicio;0
235;137.0;23640.89;email;si;2;toma nota de la gestion sin comprometer una fecha;0
236;149.0;218527.44;whatsapp;si;0;se envia detalle de la deuda por el canal habitual;0
237;51.0;27597.45;email;si;2;atendio un tercero que dice no conocer al titular;1
238;130.0;24298.12;email;si;0;solicita que le enviemos los datos de la cuenta por escrito;0
239;119.0;38081.43;whatsapp;si;1;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
240;148.0;52341.81;telefono;si;1;se deja mensaje en el contestador con los datos de contacto;0
241;143.0;126771.38;telefono;si;1;pide plan de pagos en tres cuotas y deja telefono alternativo;0
242;53.0;66679.8;telefono;no;0;atiende y pide volver a llamar en horario de la tarde;1
243;66.0;23665.52;telefono;si;2;manifiesta intencion de regularizar apenas cobre el sueldo;1
244;128.0;40682.3;email;si;0;solicita que le enviemos los datos de la cuenta por escrito;0
245;114.0;18786.78;whatsapp;no;1;consulta el monto exacto para ponerse al dia esta semana;0
246;72.0;25257.2;visita;no;0;se deja mensaje en el contestador con los datos de contacto;0
247;72.0;37605.17;whatsapp;si;1;pide plan de pagos en tres cuotas y deja telefono alternativo;1
248;55.0;148896.29;email;si;3;manifiesta intencion de regularizar apenas cobre el sueldo;1
249;166.0;17501.07;telefono;si;0;consulta el monto exacto para ponerse al dia esta semana;0
250;108.0;42310.99;visita;si;2;no atiende el telefono, el numero figura fuera de servicio;0
251;80.0;34600.76;telefono;si;1;no atiende el telefono, el numero figura fuera de servicio;0
252;200.0;66235.19;email;no;1;atendio un tercero que dice no conocer al titular;0
253;111.0;46533.31;telefono;si;1;se envia detalle de la deuda por el canal habitual;0
254;143.0;83695.1;telefono;si;0;consulta el monto exacto para ponerse al dia esta semana;0
255;127.0;88296.35;telefono;no;1;toma nota de la gestion sin comprometer una fecha;0
256;119.0;466943.95;whatsapp;no;3;toma nota de la gestion sin comprometer una fecha;0
257;138.0;38114.29;visita;si;2;atiende y pide volver a llamar en horario de la tarde;0
258;136.0;64412.66;visita;si;0;atiende y pide volver a llamar en horario de la tarde;0
259;78.0;8887.28;email;si;0;no atiende el telefono, el numero figura fuera de servicio;0
260;140.0;186404.13;whatsapp;no;0;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
261;133.0;10310.56;whatsapp;si;2;atendio un tercero que dice no conocer al titular;1
262;129.0;36038.39;whatsapp;si;1;consulta el monto exacto para ponerse al dia esta semana;1
263;96.0;43935.27;whatsapp;si;0;se deja mensaje en el contestador con los datos de contacto;0
264;201.0;10571.67;visita;no;0;se niega a pagar y menciona que iniciara un reclamo;0
265;241.0;55338.39;telefono;no;1;toma nota de la gestion sin comprometer una fecha;0
266;42.0;43946.62;whatsapp;si;0;pide plan de pagos en tres cuotas y deja telefono alternativo;1
267;42.0;65666.75;telefono;si;0;se envia detalle de la deuda por el canal habitual;0
268;169.0;45824.52;email;si;0;se niega a pagar y menciona que iniciara un reclamo;0
269;77.0;10123.27;telefono;si;1;se envia detalle de la deuda por el canal habitual;1
270;10.0;27974.37;visita;no;1;atendio un tercero que dice no conocer al titular;0
271;267.0;145907.83;visita;no;1;se niega a pagar y menciona que iniciara un reclamo;0
272;140.0;42666.89;whatsapp;si;0;pide plan de pagos en tres cuotas y deja telefono alternativo;1
273;177.0;12669.7;whatsapp;si;2;toma nota de la gestion sin comprometer una fecha;1
274;73.0;70646.76;telefono;si;1;se deja mensaje en el contestador con los datos de contacto;1
275;3.0;111889.75;email;si;0;solicita que le enviemos los datos de la cuenta por escrito;1
276;196.0;87784.22;whatsapp;no;0;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
277;137.0;42862.73;email;no;1;no atiende el telefono, el numero figura fuera de servicio;0
278;226.0;171823.5;whatsapp;no;0;se deja mensaje en el contestador con los datos de contacto;0
279;259.0;74978.09;whatsapp;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;0
280;67.0;78592.96;telefono;si;1;no atiende el telefono, el numero figura fuera de servicio;1
281;31.0;41181.17;email;si;1;atiende y pide volver a llamar en horario de la tarde;1
282;181.0;137403.4;whatsapp;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;0
283;170.0;153804.98;email;no;2;se niega a pagar y menciona que iniciara un reclamo;0
284;168.0;25858.64;whatsapp;si;1;manifiesta intencion de regularizar apenas cobre el sueldo;1
285;120.0;121350.08;telefono;si;3;toma nota de la gestion sin comprometer una fecha;1
286;122.0;8641.08;telefono;si;2;atendio un tercero que dice no conocer al titular;1
287;112.0;32091.23;whatsapp;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;0
288;99.0;18024.95;whatsapp;si;1;atiende y pide volver a llamar en horario de la tarde;1
289;89.0;63113.05;whatsapp;si;0;se niega a pagar y menciona que iniciara un reclamo;0
290;90.0;221630.03;telefono;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;1
291;24.0;16830.21;telefono;no;2;se niega a pagar y menciona que iniciara un reclamo;1
292;155.0;21719.7;whatsapp;si;1;no atiende el telefono, el numero figura fuera de servicio;0
293;166.0;37987.76;whatsapp;no;0;toma nota de la gestion sin comprometer una fecha;0
294;103.0;19410.1;telefono;no;1;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
295;33.0;85896.95;telefono;no;0;se envia detalle de la deuda por el canal habitual;0
296;83.0;13279.74;telefono;si;1;sin respuesta a los mensajes, la direccion registrada es incorrecta;1
297;32.0;82898.56;telefono;no;1;se deja mensaje en el contestador con los datos de contacto;1
298;110.0;22094.02;telefono;no;1;no atiende el telefono, el numero figura fuera de servicio;0
299;33.0;100590.99;visita;si;0;pide plan de pagos en tres cuotas y deja telefono alternativo;0
300;181.0;33016.81;whatsapp;si;0;pide plan de pagos en tres cuotas y deja telefono alternativo;0
301;283.0;26268.19;whatsapp;no;1;toma nota de la gestion sin comprometer una fecha;0
302;62.0;32743.99;email;si;0;pide plan de pagos en tres cuotas y deja telefono alternativo;0
303;95.0;146379.7;email;si;0;consulta el monto exacto para ponerse al dia esta semana;0
304;146.0;29865.32;telefono;no;1;se envia detalle de la deuda por el canal habitual;0
305;202.0;32160.61;telefono;no;2;se deja mensaje en el contestador con los datos de contacto;0
306;51.0;14930.99;whatsapp;si;1;se niega a pagar y menciona que iniciara un reclamo;1
307;79.0;43973.93;telefono;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;0
308;287.0;38223.77;telefono;no;0;se envia detalle de la deuda por el canal habitual;0
309;151.0;30334.41;whatsapp;si;2;consulta el monto exacto para ponerse al dia esta semana;1
310;149.0;19486.93;whatsapp;no;1;se envia detalle de la deuda por el canal habitual;0
311;119.0;20793.21;whatsapp;si;1;solicita que le enviemos los datos de la cuenta por escrito;0
312;49.0;24818.99;email;si;0;atiende y pide volver a llamar en horario de la tarde;1
313;189.0;9195.12;email;no;0;manifiesta intencion de regularizar apenas cobre el sueldo;0
314;226.0;53041.02;email;no;1;pide plan de pagos en tres cuotas y deja telefono alternativo;0
315;76.0;36970.6;whatsapp;si;0;consulta el monto exacto para ponerse al dia esta semana;1
316;44.0;28549.52;email;si;1;no atiende el telefono, el numero figura fuera de servicio;1
317;38.0;37264.88;telefono;si;2;toma nota de la gestion sin comprometer una fecha;1
318;199.0;31755.82;whatsapp;si;1;consulta el monto exacto para ponerse al dia esta semana;0
319;183.0;11832.46;email;si;2;se envia detalle de la deuda por el canal habitual;1
320;418.0;42949.72;telefono;si;1;se niega a pagar y menciona que iniciara un reclamo;1
321;199.0;36081.99;visita;no;2;toma nota de la gestion sin comprometer una fecha;0
322;82.0;176144.1;email;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;0
323;310.0;41249.75;email;si;0;toma nota de la gestion sin comprometer una fecha;0
